Player,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,GOALS,xG,ASSISTS,xA,DUELS PER 90,DUELS WON %,Birth country,Passport country,Foot,Height,Weight,On loan,SUCCESSFUL DEFENSIVE ACTIONS PER 90,DEFENSIVE DUELS PER 90,DEFENSIVE DUELS WON %,AERIAL DUELS PER 90,AERIAL DUELS WON %,SLIDING TACKLES PER 90,PADJ SLIDING TACKLES,SHOTS BLOCKED PER 90,INTERCEPTIONS PER 90,PADJ INTERCEPTIONS,FOULS PER 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,SUCCESSFUL ATTACKING ACTIONS PER 90,GOALS PER 90,Non-penalty goals,NON PENALITY GOALS PER 90,xG PER 90,Head goals,Head goals per 90,SHOTS,SHOTS PER 90,SHOTS ON TARGET %,GOAL CONVERSION %,ASSISTS PER 90,CROSSES PER 90,ACCURATE CROSSES %,DRIBBLES PER 90,SUCCESSFUL DRIBBLES %,OFFENSIVE DUELS PER 90,OFFENSIVE DUELS WON %,TOUCHES IN BOX PER 90,PROGRESSIVE RUNS PER 90,ACCELERATIONS PER 90,PASSES PER 90,ACCURATE PASSES %,FORWARD PASSES PER 90,ACCURATE FORWARD PASSES %,BACK PASSES PER 90,ACCURATE BACK PASSES %,LATERAL PASSES PER 90,ACCURATE LATERAL PASSES %,LONG PASSES PER 90,ACCURATE LONG PASSES %,AVERAGE PASS LENGTH,AVERAGE LONG PASS LENGTH,xA PER 90,SHOT ASSISTS PER 90,SECOND ASSISTS PER 90,THIRD ASSISTS PER 90,SMART PASSES PER 90,ACCURATE SMART PASSES %,KEY PASSES PER 90,PASSES TO FINAL THIRD PER 90,ACCURATE PASSES TO FINAL THIRD %,PASSES TO PENALTY AREA PER 90,ACCURATE PASSES TO PENALTY AREA %,THROUGH PASSES PER 90,ACCURATE THROUGH PASSES %,DEEP COMPLETIONS PER 90,DEEP COMPLETED CROSSES per 90,PROGRESSIVE PASSES PER 90,ACCURATE PROGRESSIVE PASSES %
T. Tomiyasu,Arsenal,RB,25,35000000,2026-06-30,1,15,0,0,0,0,,,Japan,Japan,right,188,84,no,,,,,,,0,,,10,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,18.03,33.91,,,,,,,,,,,,,,,,,
M. Lewis-Skelly,Arsenal,"LB, RB",18,2000000,,2,31,0,0,0,0,,,England,"England, Barbados",left,0,0,no,,,,,,,0,,,6.67,,1,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,11.92,0,,,,,,,,,,,,,,,,,
B. White,Arsenal,"RB, RCB",27,55000000,2028-06-30,9,775,0,0.21,1,0.12,9.99,54.65,England,England,right,185,77,no,5.81,5.34,54.35,1.51,61.54,0,0,0.35,2.9,3.54,0.81,2,0.23,0,0,0.58,0,0,0,0.02,0,0,4,0.46,25,0,0.12,0.93,25,0.12,100,1.16,40,0.7,0.23,0,33.21,86.36,13.94,78.33,4.88,92.86,11.03,91.58,3.25,57.14,19.54,44.79,0.01,0.23,0,0,0.12,100,0.12,6.62,75.44,1.74,46.67,0.35,33.33,0.46,0.23,6.62,84.21
R. Calafiori,Arsenal,LB,22,45000000,2029-06-30,8,567,1,0.87,0,0.14,15.08,62.11,Italy,Italy,left,188,86,no,9.68,5.56,60,3.97,68,1.11,1.67,0.79,5.24,7.86,1.11,1,0.16,0,0,1.43,0.16,1,0.16,0.14,0,0,5,0.79,80,20,0,0.95,33.33,0.63,50,3.02,42.11,1.9,0.79,0.16,36.67,87.45,11.27,71.83,8.57,96.3,11.27,94.37,1.9,75,17.1,17.52,0.02,0.16,0,0,0.16,100,0,3.33,76.19,1.27,62.5,0.16,100,1.11,0.16,3.49,77.27
Gabriel Magalhaes,Arsenal,LCB,26,70000000,2027-06-30,13,1221,3,1.31,0,0.17,9.88,58.21,Brazil,Brazil,left,190,87,no,4.79,2.8,57.89,3.61,67.35,0,0,1.03,3.17,4.46,0.66,1,0.07,0,0,0.52,0.22,3,0.22,0.1,3,0.22,11,0.81,45.45,27.273,0,0.52,14.29,0.07,100,1.03,50,1.11,0.29,0,49.31,89.39,15.7,76.06,3.46,95.74,24.25,96.66,4.2,45.61,19.85,39.5,0.01,0.07,0,0.07,0.07,0,0,5.75,75.64,1.03,28.57,0.15,50,0.22,0.07,6.04,67.07
E. Nwaneri,Arsenal,"RCMF, LB",17,0,,7,116,1,0.25,0,0,19.4,40,England,"England, Nigeria",left,165,60,no,7.76,4.66,66.67,0,0,1.55,3.33,0.78,3.1,6.67,0.78,0,0,0,0,4.66,0.78,1,0.78,0.19,0,0,4,3.1,50,25,0,1.55,50,4.66,50,11.64,40,4.66,3.88,0.78,30.26,92.31,9.31,75,6.21,100,11.64,100,0.78,100,18.17,3.17,0,0,0.78,0,0,0,0,2.33,66.67,1.55,50,0,0,0.78,0.78,4.66,66.67
W. Saliba,Arsenal,RCB,23,80000000,2027-06-30,13,1238,1,0.73,0,0,12.72,66.29,France,"France, Cameroon",right,192,85,no,7.71,5.89,81.48,2.98,48.78,0.07,0.1,0.44,2.84,3.94,0.87,2,0.15,1,0.07,0.51,0.07,1,0.07,0.05,0,0,2,0.15,50,50,0,0.07,100,0.44,83.33,1.82,68,0.36,0.07,0,56.78,94.37,16.07,85.97,3.34,95.65,30.32,98.32,2.11,65.52,18.72,36.84,0,0,0,0,0,0,0,5.23,83.33,0.44,66.67,0.07,0,0.15,0.07,4.87,74.63
Gabriel Martinelli,Arsenal,"LW, LWF, LCMF",23,70000000,2027-06-30,12,816,3,2.13,2,1.52,19.63,38.76,Brazil,"Brazil, Italy",right,178,75,no,5.18,5.07,58.7,1.99,38.89,0,0,0,2.21,2.82,0.55,0,0,0,0,4.63,0.33,3,0.33,0.24,0,0,13,1.43,53.85,23.077,0.22,3.97,33.33,5.07,47.83,10.7,31.96,4.85,3.97,0.77,23.6,72.43,3.97,63.89,7.39,95.52,7.06,62.5,0.99,33.33,18.06,14.13,0.17,0.99,0,0,0.11,100,0.88,0.77,28.57,3.42,41.94,0.22,50,1.21,1.32,2.1,68.42
L. Trossard,Arsenal,"CF, LWF",30,35000000,2026-06-30,14,68,3,4.17,1,0.62,16.8,42.59,Belgium,Belgium,right,172,63,no,5.29,4.67,62.22,1.35,7.69,0,0,0,2.38,3.58,0.52,1,0.1,1,0.1,2.9,0.31,3,0.31,0.43,0,0,21,2.18,33.33,14.286,0.1,2.28,31.82,2.7,46.15,8.4,34.57,4.67,2.7,0.73,25.4,77.96,6.74,67.69,5.39,92.31,8.4,81.48,2.8,62.96,19.19,27.93,0.06,0.83,0.1,0,0.52,40,0.52,2.18,80.95,3.01,65.52,0.93,44.44,1.35,0.73,4.67,80
R. Sterling,Arsenal,"LW, RAMF, RWF",30,35000000,2027-06-30,6,178,0,0.25,1,0.15,19.21,39.47,Jamaica,"Jamaica, England",right,172,69,yes,4.04,5.06,40,1.52,33.33,0.51,0.86,0,1.52,2.57,1.01,0,0,0,0,5.56,0,0,0,0.13,0,0,3,1.52,0,0,0.51,5.06,10,6.57,76.92,11.12,45.45,7.08,5.56,0.51,25.79,78.43,3.54,85.71,9.1,94.44,8.09,68.75,0.51,0,18.67,7.82,0.07,0.51,0,0,0,0,0.51,0.51,100,3.03,50,0,0,1.52,1.01,3.54,100
Jorginho,Arsenal,"DMF, RCMF",32,12000000,2025-06-30,6,329,0,0,0,0.16,12.04,50,Brazil,"Brazil, Italy",right,178,68,no,4.92,4.65,52.94,1.09,75,0.27,0.43,0,2.19,3.48,1.91,3,0.82,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,100,3.28,41.67,0,0.27,0,44.32,88.89,11.76,72.09,7.66,100,18.05,93.94,2.46,55.56,16.84,32.14,0.04,0.55,0,0.27,0.82,33.33,0.27,4.1,86.67,3.28,66.67,1.37,40,1.64,0,6.29,69.57
T. Partey,Arsenal,"DMF, RB, RCMF",31,18000000,2025-06-30,13,1215,2,0.73,1,0.86,14.07,56.32,Ghana,Ghana,right,185,77,no,7.93,7.11,61.46,1.78,70.83,0.3,0.39,0.52,3.26,4.24,1.41,2,0.15,0,0,0.74,0.15,2,0.15,0.05,0,0,10,0.74,30,20,0.07,0.22,100,0.37,40,2.74,45.95,0.81,0.3,0,49.33,90.84,14.44,82.56,9.19,97.58,17.78,95,2.89,56.41,16.91,28.04,0.06,0.37,0,0.07,0.3,50,0.15,6.52,81.82,2.07,67.86,0.67,44.44,1.11,0.22,6.74,80.22
O. Zinchenko,Arsenal,LB,27,38000000,2026-06-30,6,261,0,0.07,0,0.02,15.52,46.67,Ukraine,Ukraine,left,175,64,no,8.62,6.55,57.89,3.1,55.56,0,0,0,4.83,6.46,2.41,1,0.34,0,0,1.38,0,0,0,0.02,0,0,1,0.34,0,0,0,2.41,42.86,0.69,50,3.1,22.22,2.76,1.03,0,55.17,87.5,15.52,82.22,9.31,96.3,21.72,88.89,4.83,50,19.36,30.5,0.01,0.34,0,0,0,0,0,7.59,72.73,2.76,37.5,0.69,50,0.34,1.38,7.59,86.36
David Raya,Arsenal,GK,29,35000000,2025-06-30,14,1409,0,0,0,0,0.7,90.91,Spain,Spain,right,183,80,no,1.6,0.13,50,0.38,100,0,0,0,1.53,2.11,0.06,2,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.66,86.79,14.5,79.74,0,0,9.52,97.99,8.62,66.67,31.07,50.76,0,0,0,0,0,0,0,4.22,60.61,0.06,0,0.13,0,0,0,6.58,82.52
M. Ødegaard,Arsenal,RCMF,25,110000000,2028-06-30,7,630,1,1.76,1,2,15.86,43.24,Norway,Norway,left,178,68,no,3.14,4.43,54.84,0.29,50,0.14,0.21,0,0.57,0.82,0.43,1,0.14,0,0,3.14,0.14,0,0,0.25,0,0,10,1.43,50,10,0.14,1.57,18.18,2.71,52.63,9,36.51,4.43,1.86,0.43,41.29,87.54,13.57,88.42,6.71,95.74,12.71,86.52,0.71,60,16.59,16.29,0.29,2.29,0.43,0.14,0.86,83.33,1,5.14,97.22,4.29,70,0.57,75,3.43,0.29,6,92.86
